,Company Name,SCM Practices,Supplier Count,Inventory Turnover Ratio,Lead Time (days),Order Fulfillment Rate (%),Customer Satisfaction (%),Technology Utilized,Environmental Impact Score,Supply Chain Agility,Supplier Lead Time Variability (days),Inventory Accuracy (%),Transportation Cost Efficiency (%),Supply Chain Integration Level,Sustainability Practices,Supply Chain Complexity Index,Cost of Goods Sold (COGS),Operational Efficiency Score,Revenue Growth Rate out of (15),Supply Chain Risk (%),Supplier Collaboration Level,Supply Chain Resilience Score,Supplier Relationship Score,Total Implementation Cost,Carbon Emissions (kg CO2e),Recycling Rate (%),Energy Consumption (MWh),Use of Renewable Energy (%),Green Packaging Usage (%),Ticker
0,Apple,Agile SCM,300.0,7.0,8.0,94.0,91.0,"ERP, AI, Blockchain",70.0,High,2.0,98.0,90.0,High,Advanced,Medium,$700B,85.0,12.0,7.0,High,90.0,85.0,48566365,120000,60,100000,50,40,AAPL
1,Microsoft,Lean Manufacturing,200.0,5.2,15.0,91.0,89.0,"ERP, AI, Robotics",75.0,High,5.0,97.0,85.0,Medium,Advanced,Medium,$800B,80.0,10.0,12.0,Medium,85.0,85.0,54456148,121000,61,100500,51,41,MSFT
2,Google,Cross-Docking,20000.0,7.5,4.0,95.0,90.0,"AI, ERP, Blockchain",70.0,High,1.0,98.0,88.0,High,Advanced,High,$300B,80.0,12.0,5.0,High,90.0,85.0,78733131,122000,62,101000,52,42,GOOG
3,Amazon,Agile SCM,500.0,10.5,15.0,95.0,90.0,"ERP, AI, Blockchain",70.0,High,10.0,95.0,80.0,High,Advanced,Medium,$1000B,78.0,8.0,12.0,Medium,88.0,85.0,1635157,123000,63,101500,53,43,AMZN
4,Facebook,Lean Manufacturing,100.0,5.8,12.0,89.0,88.0,"ERP, AI, Robotics",75.0,High,4.0,97.0,85.0,High,Advanced,Medium,$400B,80.0,10.0,10.0,Medium,85.0,80.0,73150360,124000,64,102000,54,44,META
5,IBM,Agile SCM,200.0,7.0,8.0,94.0,91.0,"ERP, AI, Blockchain",70.0,High,2.0,98.0,90.0,High,Advanced,Medium,$600B,85.0,12.0,7.0,High,90.0,85.0,20814993,125000,65,102500,55,45,IBM
6,Intel,Sustainable SCM,20000.0,5.2,11.0,90.0,88.0,"ERP, AI, Blockchain",85.0,High,4.0,97.0,88.0,High,Advanced,Medium,$400B,85.0,9.0,10.0,High,87.0,80.0,84574186,126000,66,103000,56,46,INTC
7,Oracle,Agile SCM,400.0,6.0,9.0,93.0,91.0,"ERP, AI, Blockchain",70.0,High,2.0,97.0,88.0,High,Advanced,Medium,$700B,85.0,10.0,7.0,High,90.0,85.0,27180309,127000,67,103500,57,47,ORCL
8,Cisco,Lean Manufacturing,1500.0,7.2,5.0,93.0,89.0,"ERP, AI, Blockchain",80.0,High,2.0,98.0,90.0,High,Advanced,High,$500B,85.0,11.0,5.0,High,90.0,85.0,2640329,128000,68,104000,58,48,CSCO
9,Samsung,Agile SCM,200.0,6.0,10.0,92.0,90.0,"ERP, AI, Blockchain",75.0,High,2.0,98.0,90.0,High,Advanced,High,$800B,85.0,10.0,8.0,High,90.0,85.0,31206053,129000,69,104500,59,49,005930.KS
